,Dim1,Dim2,tokens,article,competitor
6411,17.63007736,-53.53633118,allows,13,0
7840,18.23138237,-52.79571152,allows,16,0
13623,-29.90734673,-46.26256561,allows,35,1
18741,18.72640038,-54.36196136,allows,51,2
19325,-56.01098633,7.772954464,allows,52,2
20131,-29.78019524,-46.15501404,allows,55,2
26017,18.0877552,-52.88677216,allows,68,3
30894,-30.02939034,-46.35439301,allows,80,3
31459,16.66083908,-52.54972076,allows,81,3
32030,8.925993919,-57.85192871,allows,82,3
34079,-30.01813316,-46.33359909,allows,93,4
34324,17.01418877,-52.53492355,allows,94,4
34526,17.01417732,-52.534935,allows,95,4
34728,17.01420403,-52.53491211,allows,96,4
36318,18.7527523,-52.76452637,allows,102,4
36663,18.75277138,-52.76452255,allows,103,4
22999,-18.72928429,12.94900608,alma,61,3
23807,-18.72984886,12.94928551,alma,63,3
2108,-13.55765152,40.74662018,alpha,4,0
3136,-13.54149914,40.74303055,alpha,6,0
8759,-13.54314804,40.74987793,alpha,19,0
19082,-1.556600451,-44.55417252,altered,52,2
24042,-6.708586216,-64.91636658,altered,64,3
17202,44.92308044,-27.47961617,altering,46,1
2401,16.25635338,-8.148672104,alternate,4,0
1090,-6.313463211,-9.613782883,alternating,1,0
32855,-35.06871414,-34.50669098,alternatively,86,4
2035,-37.48229218,8.215748787,alternatives,4,0
3227,-32.77922058,30.46203041,alternatives,6,0
7873,-18.24951553,-38.06258011,alternatives,16,0
12470,-37.57909775,7.8702178,alternatives,32,1
22831,-37.54076767,7.953976631,alternatives,61,3
33714,-5.109827995,-8.228928566,altitude,92,4
6612,-19.08308792,13.56352329,altogether,13,0
27685,-19.11245346,13.66620064,altogether,72,3
29318,-53.44747925,6.885895252,altogether,77,3
28242,-20.49620056,-11.0658474,amateur,74,3
29313,-52.78949738,5.277066231,amateur,77,3
27633,-21.04025841,-28.10262299,amateurs,72,3
17850,41.41484451,-12.86744881,ambient,48,1
31558,-34.79628754,-31.85100746,amidst,81,3
2629,-10.3666153,39.31311417,amino,5,0
16002,-10.35355568,39.34029007,amino,44,1
30766,-10.28896427,39.02871704,amino,80,3
35689,-7.790167332,32.35851669,amino,100,4
1363,42.87482071,-21.20944023,amongst,2,0
2664,42.84327698,-21.22676468,amongst,5,0
2977,42.76422882,-21.26191902,amongst,6,0
4649,42.80181885,-21.23783684,amongst,9,0
8403,-38.74964905,-34.11606216,amongst,17,0
9472,42.86960602,-21.18968964,amongst,22,0
14371,42.8721199,-21.18572998,amongst,39,1
3566,-42.00349426,-7.46584177,amounts,7,0
7567,-4.803214073,-10.81735229,amounts,16,0
15328,-23.15571976,30.93433189,amounts,41,1
18750,-23.17201805,30.86656189,amounts,51,2
30801,-23.15842056,30.83929443,amounts,80,3
17792,6.856430054,-42.61901474,ample,48,1
23863,25.23721313,-11.13344097,ample,63,3
29321,-16.97978401,-55.31863403,analysts,77,3
31188,14.66484642,10.90431499,anatomical,81,3
36080,-36.94983292,30.36631393,anatomy,101,4
10458,-14.67287159,-35.82984161,ancestors,25,1
32981,33.98725128,4.376553059,anchor,87,4
2594,34.35754395,26.24707794,angeles,5,0
9038,1.099270821,-0.679437459,angles,20,0
4656,-1.331474781,-19.60798073,animated,9,0
21355,-39.21648407,43.47080994,anita,58,3
22290,-39.2294693,43.48563766,anita,59,3
22691,-39.27118683,43.54651642,anita,60,3
23051,-56.63659668,12.48094559,anita,61,3
23520,-39.25515366,43.54101563,anita,62,3
23712,-39.2201767,43.54526138,anita,63,3
26843,-39.27119064,43.5465126,anita,70,3
31072,-39.20406723,43.50669861,anita,80,3
27864,10.61888504,13.84253216,ankle,73,3
31819,9.638890266,13.66893673,ankles,82,3
1970,-26.87077904,-41.86846542,annually,4,0
17960,-50.14951324,-4.94683075,annually,49,1
18778,-26.87621117,-41.8354454,annually,51,2
29674,-22.06750107,-26.31136513,answered,77,3
31663,-55.76699829,0.36381048,answered,82,3
36133,6.22996664,-17.94182396,answered,102,4
36478,6.22996664,-17.94182396,answered,103,4
19373,37.90334702,-30.04148865,answering,53,2
2828,-40.01424789,0.732120275,answers,5,0
10642,-39.99066162,0.562791109,answers,26,1
10855,37.88870239,-30.17472076,answers,27,1
15842,-40.00457382,0.439465553,answers,43,1
23710,-40.06077957,0.686933219,answers,63,3
24684,-40.0111618,0.643339276,answers,65,3
25926,-41.3520813,-17.5841198,answers,68,3
27720,-40.51989365,0.660822511,answers,73,3
31813,11.17489052,15.16376305,anterior,82,3
390,-15.15598774,38.24496078,anti,0,0
506,-18.3831749,-42.97215271,anti,1,0
1405,-15.91342068,38.14469528,anti,2,0
2326,-15.6680212,38.90948486,anti,4,0
2639,-16.01562309,39.12200546,anti,5,0
3679,-14.93738461,37.99326706,anti,7,0
4295,-14.74305344,38.01559067,anti,9,0
5490,-15.76526928,38.34643173,anti,11,0
6083,-15.52284908,38.23478699,anti,12,0
10653,-14.58074665,37.97247696,anti,26,1
12363,-16.45421028,39.18923187,anti,31,1
13429,-15.63797569,39.15737152,anti,34,1
13437,-14.41134453,37.9464035,anti,35,1
13960,-15.58981037,38.80387878,anti,37,1
15945,-15.19214153,39.23261642,anti,44,1
17303,-14.77364731,38.0226059,anti,47,1
17874,-15.59496784,39.14548874,anti,48,1
18077,-15.08345795,38.16467285,anti,49,1
19115,-15.71272755,38.82530594,anti,52,2
